Island,FieldPeriodID,BreedGroupID,Status,BirdID,NSA_Birds,TerritoryNumber
CN,19,2079,NSA,599,1,1.1
CN,19,2082,NSA,455,1,5
CN,19,2096,NSA,599,1,24
CN,19,2109,NSA,461,1,39
CN,19,2118,NSA,639,1,50
CN,19,2119,NSA,792,1,51
CN,19,2125,NSA,450,1,57
CN,19,2127,NSA,461,1,60
CN,19,2130,NSA,639,1,64
CN,19,2141,NSA,450,1,78
CN,21,11,NSA,599,1,24
CN,21,12,NSA,848,1,36
CN,21,12,NSA,888,1,36
CN,21,2197,NSA,498,1,1
CN,21,2197,NSA,859,1,1
CN,21,2198,NSA,599,1,1.1
CN,21,2206,NSA,859,1,10
CN,21,2206,NSA,914,1,10
CN,21,2206,NSA,929,1,10
CN,21,2208,NSA,911,1,15
CN,21,2211,NSA,911,1,18
CN,21,2219,NSA,498,1,28
CN,21,2219,NSA,888,1,28
CN,21,2221,NSA,929,1,30
CN,21,2226,NSA,826,1,33.1
CN,21,2231,NSA,461,1,39
CN,21,2233,NSA,558,1,41
CN,21,2241,NSA,541,1,48
CN,21,2242,NSA,826,1,50
CN,21,2247,NSA,856,1,54
CN,21,2252,NSA,461,1,60
CN,21,2256,NSA,856,1,64
CN,21,2261,NSA,679,1,73
CN,21,2262,NSA,541,1,74
CN,21,2264,NSA,914,1,76
CN,21,2273,NSA,679,1,86
CN,21,2283,NSA,542,1,96
CN,21,2284,NSA,668,1,97.1
CN,21,2289,NSA,668,1,103.1
CN,21,2290,NSA,563,1,104
CN,21,2294,NSA,563,1,109
CN,21,2296,NSA,605,1,111
CN,21,2297,NSA,605,1,112
CN,21,7019,NSA,331,1,83
CN,21,7020,NSA,331,1,123
CN,22,23,NSA,1859,1,10
CN,22,47,NSA,461,1,39
CN,22,48,NSA,917,1,40
CN,22,49,NSA,558,1,41
CN,22,50,NSA,1026,1,42
CN,22,70,NSA,461,1,60
CN,22,73,NSA,917,1,64
CN,23,119,NSA,599,1,1.1
CN,23,126,NSA,1859,1,10
CN,23,143,NSA,1130,1,42
CN,23,152,NSA,599,1,54
CN,23,159,NSA,856,1,60.1
CN,23,161,NSA,856,1,64
CN,23,166,NSA,679,1,73
CN,25,188,NSA,599,1,1.1
CN,25,198,NSA,1859,1,10
CN,25,240,NSA,599,1,54
CN,25,247,NSA,856,1,60.1
CN,25,250,NSA,856,1,64
CN,25,251,NSA,640,1,67
CN,25,265,NSA,640,1,86
CN,26,280,NSA,1391,1,5
CN,26,291,NSA,1371,1,32
CN,26,293,NSA,1390,1,37
CN,26,294,NSA,1305,1,47
CN,26,297,NSA,1227,1,52.1
CN,26,302,NSA,640,1,67
CN,26,312,NSA,938,1,95
CN,26,2402,NSA,599,1,1.1
CN,26,2411,NSA,1859,1,10
CN,26,2412,NSA,1409,1,11
CN,26,2413,NSA,1408,1,15
CN,26,2418,NSA,442,1,30.1
CN,26,2418,NSA,1362,1,30.1
CN,26,2422,NSA,1388,1,34
CN,26,2424,NSA,1391,1,36
CN,26,2437,NSA,1278,1,50
CN,26,2441,NSA,599,1,54
CN,26,2453,NSA,1409,1,77
CN,26,2454,NSA,329,1,80
CN,26,2457,NSA,640,1,86
CN,26,2460,NSA,1276,1,93
CN,26,2468,NSA,1276,1,108
CN,26,2469,NSA,1305,1,109
CN,27,318,NSA,1391,1,5
CN,27,325,NSA,1383,1,33
CN,27,325,NSA,1385,1,33
CN,27,327,NSA,1359,1,37
CN,27,345,NSA,1401,1,85
CN,27,2478,NSA,1859,1,10
CN,27,2478,NSA,3134,1,10
CN,27,2488,NSA,1359,1,26.1
CN,27,2488,NSA,1412,1,26.1
CN,27,2492,NSA,1385,1,30.2
CN,27,2492,NSA,3134,1,30.2
CN,27,2493,NSA,1404,1,32
CN,27,2496,NSA,848,1,36
CN,27,2496,NSA,1215,1,36
CN,27,2496,NSA,1370,1,36
CN,27,2496,NSA,1391,1,36
CN,27,2504,NSA,1278,1,50
CN,27,2517,NSA,476,1,68
CN,27,2517,NSA,1215,1,68
CN,27,2517,NSA,1430,1,68
CN,27,2521,NSA,1412,1,78
CN,27,2522,NSA,329,1,80
CN,27,2524,NSA,476,1,86
CN,27,2527,NSA,1276,1,93
CN,27,2534,NSA,1430,1,104
CN,27,2535,NSA,1276,1,108
CN,28,359,NSA,1859,1,10
CN,28,383,NSA,848,1,36
CN,28,384,NSA,1368,1,37
CN,28,394,NSA,1278,1,50
CN,28,413,NSA,476,1,68
CN,28,424,NSA,476,1,86
CN,28,434,NSA,1387,1,101.1
CN,28,2549,NSA,1387,1,82
CN,30,461,NSA,1719,1,17
CN,30,519,NSA,1719,1,69
