"","BirdID","Status","BreedGroupID","Mate","NoFeeds","FeedsPerHour","NestWatchID","WatchDate","Month","Year2","TerritoryID","ObsDuration","LastBTO","SexEstimate","TerritoryNumber","TQ","Observer","LastColourRing","Island","NoH","StartTime","NestNumber","SumOfFeedsPerHour","NestID","Helper01","TotalFeeds","TotalFeedsPerHour","ClutchSize","BroodSize","NoFledglings","X.UkUR","WatchType","TQcorrected","FieldPeriodID","FPID_Month","MonthlyInsects","AvgOfTQcorrected","TQc_Combined","AnnualInsects","No_M_H","No_F_H","GroupSize","MateID","TID","BGID","NID","NWID","Obs","Year","FeedsHour","LogFeedsPerHour","sqrtFeedsPerHour","NoOffspring"
"12","168","BrF",70,884,10,10,362,2019-08-21,"8",1997,89,60,"C568759",0,60,0.072955073,"DR","NO/LX","CN",1,"16:30",1,19,85,"1",19,19,1,1,1,0,"FL",31991.15171,22,"22_8",1134,NA,31991.15171,6.349060431,0,1,3,"884","89","70","85","362","DR","1997",10,2.30258509299405,3.16227766016838,1
"18","169","BrF",31,890,4,4,344,2019-08-02,"8",1997,28,60,"C568760",0,22,-0.204625821,"KB","GX/OO","CN",0,"14:10",1,14,32,"0",14,14,1,1,0,0,"FI",31443.3624,22,"22_8",1134,NA,31443.3624,6.349060431,0,0,2,"890","28","31","32","344","KB","1997",4,1.38629436111989,2,1
"21","172","BrF",26,1861,7,7,357,2019-08-12,"8",1997,22,60,"C568763",0,16,-0.030872841,"DR","RY/LX","CN",0,"14:45",1,8,25,"0",8,8,1,1,0,0,"FI",73456.58506,22,"22_8",1134,NA,73456.58506,6.349060431,0,0,2,"1861","22","26","25","357","DR","1997",7,1.94591014905531,2.64575131106459,1
"23","176","BrM",391,1042,4,4,530,2019-08-05,"8",1999,63,60,"C568767",1,46,0.179861486,"MF","GX/GB","CN",0,"08:30",3,14,463,"0",14,14,1,1,1,0,"FI",52311.04723,28,"28_8",1840,NA,52311.04723,5.123570615,0,0,3,"1042","63","391","463","530","MF","1999",4,1.38629436111989,2,1
"24","176","BrM",53,827,8,5.333333333,359,2019-08-09,"8",1997,63,90,"C568767",1,46,0.179861486,"KO","GX/GB","CN",1,"07:20",1,10.66666667,65,"1",16,10.66666667,1,1,0,0,"FI",70000.31357,22,"22_8",1134,NA,70000.31357,6.349060431,1,0,3,"827","63","53","65","359","KO","1997",5.33333333333333,1.67397643357167,2.30940107668633,1
"27","64","BrF",13,178,0,0,597,2019-07-27,"7",1996,103,60,"B425123",0,71,-0.43507243,"PE","LE/NX","CN",1,"11:50",1,6,896,"1",6,6,1,1,0,0,"FI",15763.49449,21,"21_7",3174,NA,15763.49449,5.504502192,0,1,3,"178","103","13","896","597","PE","1996",0,-Inf,0,1
"28","178","BrM",13,64,5,5,597,2019-07-27,"7",1996,103,60,"C568769",1,71,-0.43507243,"PE","RG/GX","CN",1,"11:50",1,6,896,"1",6,6,1,1,0,0,"FI",15763.49449,21,"21_7",3174,NA,15763.49449,5.504502192,0,1,3,"64","103","13","896","597","PE","1996",5,1.6094379124341,2.23606797749979,1
"29","64","BrF",13,178,0,0,625,2019-08-11,"8",1996,103,60,"B425123",0,71,-0.43507243,"PE","LE/NX","CN",1,"10:45",1,14,896,"1",14,14,1,1,0,0,"F",15763.49449,21,"21_8",2490,NA,15763.49449,5.504502192,0,1,3,"178","103","13","896","625","PE","1996",0,-Inf,0,1
"30","178","BrM",13,64,5,5,625,2019-08-11,"8",1996,103,60,"C568769",1,71,-0.43507243,"PE","RG/GX","CN",1,"10:45",1,14,896,"1",14,14,1,1,0,0,"F",15763.49449,21,"21_8",2490,NA,15763.49449,5.504502192,0,1,3,"64","103","13","896","625","PE","1996",5,1.6094379124341,2.23606797749979,1
"34","199","BrF",473,609,5,3.333333333,762,2020-08-27,"8",2003,42,90,"C568792",0,30.1,-0.047255493,"CE","GX/-","CN",2,"15:30",2,25.33333333,743,"1",38,25.33333333,2,1,1,0,"F",48432.35657,30,"30_8",1209,NA,48432.35657,3.656860326,1,1,4,"609","42","473","743","762","CE","2003",3.33333333333333,1.20397280432594,1.82574185825927,1
"38","199","BrF",37,609,13,8.666666667,353,2019-08-08,"8",1997,42,90,"C568792",0,30.1,-0.047255493,"KB","GX/-","CN",1,"14:05",1,27.33333333,41,"1",41,27.33333333,2,1,0,4.87804878,"FI",43460.40995,22,"22_8",1134,NA,43460.40995,6.349060431,0,1,4,"609","42","37","41","353","KB","1997",8.66666666666667,2.15948424935337,2.94392028883256,1
"39","199","BrF",2221,609,13,13,1262,2019-07-13,"7",1996,41,60,"C568792",0,30,0.165792252,"JK","GX/-","CN",1,"14:08",1,29,2169,"1",29,29,1,1,1,0,"F",14969.12714,21,"21_7",3174,NA,14969.12714,5.504502192,0,1,5,"609","41","2221","2169","1262","JK","1996",13,2.56494935746154,3.60555127546399,1
"40","200","BrM",195,833,6,6,371,2019-08-20,"8",1998,12,60,"C568793",1,7,0.041248086,"KB","RG/LX","CN",0,"10:25",2,10,309,"0",10,10,1,1,0,0,"FI",22741.37143,25,"25_8",2294,NA,22741.37143,3.409097045,0,0,2,"833","12","195","309","371","KB","1998",6,1.79175946922805,2.44948974278318,1
"41","200","BrM",195,833,6,6,372,2019-08-21,"8",1998,12,60,"C568793",1,7,0.041248086,"KB","RG/LX","CN",0,"08:02",2,9,309,"0",9,9,1,1,0,0,"FI",22741.37143,25,"25_8",2294,NA,22741.37143,3.409097045,0,0,2,"833","12","195","309","372","KB","1998",6,1.79175946922805,2.44948974278318,1
"43","200","BrM",356,833,9,9,1199,2019-08-27,"8",1999,12,60,"C568793",1,7,0.041248086,"KB","RG/LX","CN",0,"16:45",2,12,537,"0",12,12,1,1,1,0,"FI",24047.44853,28,"28_8",1840,NA,24047.44853,5.123570615,0,0,2,"833","12","356","537","1199","KB","1999",9,2.19722457733622,3,1
"47","215","BrM",366,502,8,8,1187,2019-08-30,"8",1999,25,60,"C568814",1,19,-0.081292776,"KB","GN/NX","CN",0,"10:00",5,16,401,"0",16,16,1,1,0,0,"FI",26161.56846,28,"28_8",1840,NA,26161.56846,5.123570615,0,0,3,"502","25","366","401","1187","KB","1999",8,2.07944154167984,2.82842712474619,1
"48","216","BrM",221,308,8,8,396,2019-08-12,"8",1998,53,60,"C568815",1,37,0.238343219,"DR","GB/NX","CN",1,"12:10",2,18,227,"1",18,18,2,2,1,0,"FI",15925.58946,25,"25_8",2294,NA,15925.58946,3.409097045,0,1,4,"308","53","221","227","396","DR","1998",8,2.07944154167984,2.82842712474619,2
"49","216","BrM",221,308,12,12,398,2019-08-25,"8",1998,53,60,"C568815",1,37,0.238343219,"DR","GB/NX","CN",1,"12:00",2,42,227,"1",42,42,2,2,1,0,"F",15925.58946,25,"25_8",2294,NA,15925.58946,3.409097045,0,1,4,"308","53","221","227","398","DR","1998",12,2.484906649788,3.46410161513775,2
"52","220","BrM",367,924,11,11,1181,2019-08-02,"8",1999,26,60,"C568819",1,20,0.092873751,"KB","PW/NX","CN",0,"12:00",2,27,406,"0",27,27,1,1,1,0,"FI",32505.97502,28,"28_8",1840,NA,32505.97502,5.123570615,0,0,3,"924","26","367","406","1181","KB","1999",11,2.39789527279837,3.3166247903554,1
