BirdID,Status,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,FieldPeriodID,HelperNumber,AdditionalBirds,GroupSize,Accurate,Observer
1029,BrM,4987,828,27/08/2010,08,2010,14:40,FeedingOffspring,22,60,1,5180,43,25237.18,25237.18,1,1,1,FI,2270,2,CN,104,0,1,3,TRUE,SP
1029,BrM,4987,829,31/08/2010,08,2010,12:00,FeedingOffspring,26,60,1,5184,43,25237.18,25237.18,1,1,1,FI,2270,2,CN,104,0,1,3,TRUE,SP
1187,BrM,4962,822,19/08/2010,08,2010,15:50,FeedingOffspring,7,60,1,5025,5,32515.83,32515.83,1,1,1,FI,2230,1,CN,104,1,0,3,TRUE,SP
1415,BrF,4984,789,19/08/2010,08,2010,16:05,FeedingOffspring,12,60,0,4381,39,10357.31,10357.31,2,2,2,F,2266,1,CN,104,0,0,2,TRUE,MH
1415,BrF,5085,868,27/08/2011,08,2011,13:36,FeedingOffspring,5,60,0,4754,39,42700.42,42700.42,1,1,1,F,2390,1,CN,105,0,0,2,TRUE,MH
1489,BrM,5362,1047,28/08/2012,08,2012,07:25,FeedingOffspring,3,60,1,4778,118,13779.41,13779.41,2,2,0,FI,2659,1,CN,116,1,0,3,TRUE,VS
1489,BrM,6724,1493,27/08/2014,08,2014,07:44,FeedingOffspring,4,60,1,5507,118,30145.77,30145.77,1,1,0,F,3143,1,CN,125,0,0,2,TRUE,KLB
1489,BrM,6819,1512,19/02/2015,02,2015,11:06,FeedingOffspring,4,60,1,5683,118,13279.91,13279.91,1,1,1,F,3439,1,CN,139,0,1,3,TRUE,MB
1489,BrM,6819,1516,21/02/2015,02,2015,08:37,FeedingOffspring,4,60,1,5685,118,13279.91,13279.91,1,1,1,F,3439,1,CN,139,0,1,3,TRUE,MB
1494,BrM,5047,795,31/08/2010,08,2010,11:50,FeedingOffspring,6,60,1,4053,140,18853.60,18853.60,1,1,1,F,2346,1,CN,104,0,0,2,TRUE,MH
1499,BrM,4965,838,26/08/2010,08,2010,08:02,FeedingOffspring,9,60,1,4032,9,25305.22,25305.22,1,1,1,F,2236,2,CN,104,0,1,3,TRUE,MH
1499,BrM,5089,906,29/08/2011,08,2011,16:00,FeedingOffspring,7,60,1,4400,9,92085.58,92085.58,1,1,1,F,2398,2,CN,105,2,0,4,TRUE,DJW
