BirdID,Status,BreedGroupID,FieldPeriodID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,SexEstimate,Age,TerritoryID,ClutchSize,BroodSize,NoFledglings,WatchType,NestID,NestNumber,Island,Accurate,Observer,HelperNumber,GroupSize,TerritoryNumber
25,BrM,2106,19,638,21/07/1995,07,1995,14:27,F,8,90,1,4314,52,1,1,0,FI,2214,1,CN,TRUE,JT,0,3,36
25,BrM,2106,19,681,28/07/1995,07,1995,09:00,F,7,85,1,4321,52,1,1,0,FI,2214,1,CN,TRUE,JT,0,3,36
51,BrM,220,25,394,05/09/1998,09,1998,11:15,F,3,60,1,4199,51,1,1,1,FI,225,1,CN,TRUE,SG,0,3,35
64,BrF,2133,19,636,21/07/1995,07,1995,08:33,F,1,90,0,2896,103,1,1,1,FI,1594,1,CN,TRUE,JT,1,3,71
64,BrF,2133,19,640,25/07/1995,07,1995,08:35,F,1,90,0,2900,103,1,1,1,F,1594,1,CN,TRUE,JT,1,3,71
64,BrF,2133,19,643,28/07/1995,07,1995,10:45,F,1,35,0,2903,103,1,1,1,F,1594,1,CN,TRUE,JT,1,3,71
65,BrM,2110,19,1260,26/07/1995,07,1995,10:15,F,14,90,1,2901,56,1,1,0,FI,1588,1,CN,TRUE,JT,0,2,40
65,BrM,2232,21,605,27/07/1996,07,1996,17:30,F,5,30,1,3268,56,1,1,0,FI,2171,1,CN,TRUE,PE,1,3,40
168,BrF,2127,19,683,04/08/1995,08,1995,10:42,F,12,60,0,2211,89,1,1,1,F,1591,1,CN,TRUE,JT,1,3,60
168,BrF,2127,19,1296,02/08/1995,08,1995,15:27,F,20,60,0,2209,89,1,1,1,F,1591,1,CN,TRUE,JK,1,3,60
169,BrF,31,22,344,02/08/1997,08,1997,14:10,F,4,60,0,3245,28,1,1,0,FI,32,1,CN,TRUE,KB,0,2,22
169,BrF,207,25,383,11/09/1998,09,1998,11:07,F,3,60,0,3650,28,1,1,0,FI,194,4,CN,TRUE,KB,0,2,22
169,BrF,207,25,384,13/09/1998,09,1998,11:25,F,3,60,0,3652,28,1,1,0,FI,194,4,CN,TRUE,KB,0,2,22
169,BrF,369,28,1209,30/07/1999,07,1999,15:05,F,6,60,0,3972,28,1,1,1,F,411,2,CN,TRUE,KB,0,2,22
172,BrF,26,22,357,12/08/1997,08,1997,14:45,F,7,60,0,2950,22,1,1,0,FI,25,1,CN,TRUE,DR,0,2,16
176,BrM,53,22,359,09/08/1997,08,1997,07:20,F,8,90,1,3252,63,1,1,0,FI,65,1,CN,TRUE,KO,1,3,46
176,BrM,391,28,530,05/08/1999,08,1999,08:30,F,4,60,1,3978,63,1,1,1,FI,463,3,CN,TRUE,MF,1,3,46
176,BrM,391,28,536,17/08/1999,08,1999,08:55,F,5,59,1,3990,63,1,1,1,F,463,3,CN,TRUE,MF,1,3,46
176,BrM,2115,19,668,12/09/1995,09,1995,15:33,F,3,60,1,2555,63,2,1,0,F,3344,2,CN,TRUE,JK,2,5,46
178,BrM,13,21,597,27/07/1996,07,1996,11:50,F,5,60,1,2874,103,1,1,0,FI,896,1,CN,TRUE,PE,1,3,71
178,BrM,13,21,625,11/08/1996,08,1996,10:45,F,5,60,1,2889,103,1,1,0,F,896,1,CN,TRUE,PE,1,3,71
178,BrM,2133,19,636,21/07/1995,07,1995,08:33,F,9,90,1,2502,103,1,1,1,FI,1594,1,CN,TRUE,JT,1,3,71
178,BrM,2133,19,640,25/07/1995,07,1995,08:35,F,12,90,1,2506,103,1,1,1,F,1594,1,CN,TRUE,JT,1,3,71
178,BrM,2133,19,643,28/07/1995,07,1995,10:45,F,2,35,1,2509,103,1,1,1,F,1594,1,CN,TRUE,JT,1,3,71
178,BrM,2133,19,644,28/07/1995,07,1995,12:00,F,1,38,1,2509,103,1,1,1,F,1594,1,CN,TRUE,JT,1,3,71
178,BrM,2133,19,645,28/07/1995,07,1995,16:46,F,3,75,1,2509,103,1,1,1,F,1594,1,CN,TRUE,JT,1,3,71
