BirdID,Status,SexEstimate,BreedGroupID,NestWatchID,WatchDate,Month,Year,StartTime,Behaviour,ProvisioningVisit,ObsDuration,Age,TerritoryID,TQ,TQcorrected,ClutchSize,BroodSize,NoFledglings,WatchType,NestNumber,Island,FieldPeriodID,Accurate,HelperNumber,AdditionalBirds,GroupSize
3456,BrM,1,5065,780,08/08/2010,8,2010,09:35,Feeding_Offspring,4,60,2247,407,43677.56,43677.56,1,1,1,F,1,CN,104,TRUE,0,0,2
3569,BrF,0,5065,780,08/08/2010,8,2010,09:35,Feeding_Offspring,15,60,1823,407,43677.56,43677.56,1,1,1,F,1,CN,104,TRUE,0,0,2
1824,BrF,0,4983,781,08/08/2010,8,2010,15:38,Feeding_Offspring,16,60,2555,36,30493.11,30493.11,1,1,1,F,1,CN,104,TRUE,0,0,2
5220,BrM,1,4983,781,08/08/2010,8,2010,15:38,Feeding_Offspring,13,60,864,36,30493.11,30493.11,1,1,1,F,1,CN,104,TRUE,0,0,2
1611,BrM,1,4980,782,09/08/2010,8,2010,10:25,Feeding_Offspring,7,60,3682,32,15532.47,15532.47,1,1,1,FI,1,CN,104,TRUE,0,0,2
3497,BrF,0,4980,782,09/08/2010,8,2010,10:25,Feeding_Offspring,5,60,1968,32,15532.47,15532.47,1,1,1,FI,1,CN,104,TRUE,0,0,2
2959,BrF,0,4996,783,09/08/2010,8,2010,11:39,Feeding_Offspring,8,60,2633,57,15927.87,15927.87,1,1,1,F,1,CN,104,TRUE,0,0,2
5321,BrM,1,4996,783,09/08/2010,8,2010,11:39,Feeding_Offspring,14,60,509,57,15927.87,15927.87,1,1,1,F,1,CN,104,TRUE,0,0,2
1580,BrF,0,5030,784,11/08/2010,8,2010,14:08,Feeding_Offspring,13,60,3719,109,10870.87,10870.87,1,1,1,F,1,CN,104,TRUE,0,0,2
3643,BrM,1,5030,784,11/08/2010,8,2010,14:08,Feeding_Offspring,19,60,1778,109,10870.87,10870.87,1,1,1,F,1,CN,104,TRUE,0,0,2
2989,BrF,0,5010,785,11/08/2010,8,2010,16:00,Feeding_Offspring,6,60,2348,75,11237.17,11237.17,1,1,1,FI,1,CN,104,TRUE,0,1,3
4887,BrM,1,5010,785,11/08/2010,8,2010,16:00,Feeding_Offspring,11,60,1467,75,11237.17,11237.17,1,1,1,FI,1,CN,104,TRUE,0,1,3
3595,BrF,0,5020,787,18/08/2010,8,2010,10:00,Feeding_Offspring,10,60,1813,90,11017.2,11017.2,1,1,1,FI,1,CN,104,TRUE,1,0,3
5292,BrM,1,5020,787,18/08/2010,8,2010,10:00,Feeding_Offspring,30,60,633,90,11017.2,11017.2,1,1,1,FI,1,CN,104,TRUE,1,0,3
3590,BrF,0,5066,788,19/08/2010,8,2010,14:59,Feeding_Offspring,20,60,1826,478,3504.19,3504.19,1,1,0,FI,1,CN,104,TRUE,0,1,3
4854,BrM,1,5066,788,19/08/2010,8,2010,14:59,Feeding_Offspring,7,60,1569,478,3504.19,3504.19,1,1,0,FI,1,CN,104,TRUE,0,1,3
1415,BrF,0,4984,789,19/08/2010,8,2010,16:05,Feeding_Offspring,12,60,4381,39,10357.31,10357.31,2,2,2,F,1,CN,104,TRUE,0,0,2
4890,BrM,1,4984,789,19/08/2010,8,2010,16:05,Feeding_Offspring,13,60,1466,39,10357.31,10357.31,2,2,2,F,1,CN,104,TRUE,0,0,2
1604,BrM,1,5015,790,24/08/2010,8,2010,13:30,Feeding_Offspring,18,60,3579,83,24896.54,24896.54,1,1,1,F,2,CN,104,TRUE,0,0,2
3567,BrF,0,5015,790,24/08/2010,8,2010,13:30,Feeding_Offspring,11,60,2071,83,24896.54,24896.54,1,1,1,F,2,CN,104,TRUE,0,0,2
1763,BrF,0,4960,792,25/08/2010,8,2010,09:54,Feeding_Offspring,7,60,3000,3,45688.32,45688.32,1,1,1,FI,1,CN,104,TRUE,1,0,3
5204,BrM,1,4960,792,25/08/2010,8,2010,09:54,Feeding_Offspring,12,60,828,3,45688.32,45688.32,1,1,1,FI,1,CN,104,TRUE,1,0,3
4935,BrF,0,5024,793,25/08/2010,8,2010,11:22,Feeding_Offspring,4,60,1455,96,10020.84,10020.84,1,1,1,FI,1,CN,104,TRUE,1,1,4
4948,BrM,1,5024,793,25/08/2010,8,2010,11:22,Feeding_Offspring,4,60,1412,96,10020.84,10020.84,1,1,1,FI,1,CN,104,TRUE,1,1,4
1752,BrM,1,4989,794,26/08/2010,8,2010,10:15,Feeding_Offspring,8,60,2930,47,53869.96,53869.96,1,1,1,FI,2,CN,104,TRUE,1,1,4
1765,BrF,0,4989,794,26/08/2010,8,2010,10:15,Feeding_Offspring,7,60,2999,47,53869.96,53869.96,1,1,1,FI,2,CN,104,TRUE,1,1,4
